gene	circuit_class	topology_type	description	evidence_source	confidence
AARS2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ABHD17A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ABT1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACIN1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACTB	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACTL6A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACTR1A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACTR2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACTR6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ACTR8	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ADAT2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
AHCTF1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
AHCY	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
AIFM1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ALG13	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ALG14	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ALYREF	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ANAPC1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ANAPC11	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ANAPC4	I	feed_forward_target	regulated by 1 TFs (YBX1), no feedback role	TRRUST_topology	medium
ANKS6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ANLN	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ARF4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ARGLU1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ARIH1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ARMC6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ARPC3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ATF4	II	mixed_feedback_pair	mixed feedback with IRF7	TRRUST_motif	high
ATL2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ATP1A1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ATP2A2	I	feed_forward_target	regulated by 5 TFs (ATF6, HAX1, PPARG...), no feedback role	TRRUST_topology	medium
ATP6V1G1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ATP6V1H	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ATRIP	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
AURKAIP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
BCAR1	I	feed_forward_target	regulated by 2 TFs (EGR1, NAB2), no feedback role	TRRUST_topology	medium
BCAS2	I	feed_forward_target	regulated by 1 TFs (ESRRB), no feedback role	TRRUST_topology	medium
BCL2L1	I	feed_forward_target	regulated by 16 TFs (BCL6, CEBPB, FOS...), no feedback role	TRRUST_topology	medium
BDP1	I	feed_forward_tf	TF with 3 known targets, no detected feedback	TRRUST_topology	medium
BNIP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
BOP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
BORA	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
BPTF	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
BRCA1	II	negative_feedback_loop	negative feedback loop (BRCA1 → ATM → SP1 → AHR → BRCA1)	TRRUST_motif	high
BRD4	V	self_modifying	Bromodomain reader, superenhancer regulation	literature	high
BRIX1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
BUB1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
BUB1B	I	feed_forward_target	regulated by 1 TFs (ZNF143), no feedback role	TRRUST_topology	medium
BYSL	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
C19orf25	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
C1QBP	I	feed_forward_target	regulated by 1 TFs (SP1), no feedback role	TRRUST_topology	medium
C9orf78	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CACTIN	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CAMLG	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CAPZB	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CBLL1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CBX1	V	chromatin_modifier	encodes chromatin/epigenetic modifier	gene_function	medium
CCDC59	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CCDC86	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CCNH	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CCNK	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CCT5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CCT7	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CCT8	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CDC123	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CDC16	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CDC20	I	feed_forward_target	regulated by 2 TFs (PHF8, YBX1), no feedback role	TRRUST_topology	medium
CDC40	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CDC42	I	feed_forward_target	regulated by 1 TFs (PTTG1), no feedback role	TRRUST_topology	medium
CDC5L	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
CDC6	I	feed_forward_target	regulated by 7 TFs (AR, ARID3A, E2F1...), no feedback role	TRRUST_topology	medium
CDC73	I	feed_forward_target	regulated by 1 TFs (WT1), no feedback role	TRRUST_topology	medium
CDK9	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CENPC	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CENPE	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CENPN	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CENPT	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CENPW	I	feed_forward_target	regulated by 1 TFs (SP1), no feedback role	TRRUST_topology	medium
CEP192	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CEP85	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CHCHD4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CHEK1	I	feed_forward_target	regulated by 4 TFs (BCL6, E2F1, MYC...), no feedback role	TRRUST_topology	medium
CHERP	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CHMP2A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CHMP3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CHMP5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CHMP6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CIAO1	I	feed_forward_target	regulated by 1 TFs (WT1), no feedback role	TRRUST_topology	medium
CIAPIN1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CLASRP	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CLK2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CMTR1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CNIH4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CNOT1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CNOT2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CNOT3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COA5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COASY	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COG6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COPA	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COPB1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COPB2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COPG1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COPS3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COPS4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COPS6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COQ2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COX11	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COX15	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COX17	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
COX7C	I	feed_forward_target	regulated by 1 TFs (YY1), no feedback role	TRRUST_topology	medium
CPOX	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CPSF1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CPSF4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CSE1L	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CSNK1A1	I	feed_forward_target	regulated by 1 TFs (SOX17), no feedback role	TRRUST_topology	medium
CSTF1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CSTF3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CTNNBL1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CTR9	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CTU2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CUL1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CUL3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CWF19L2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CXXC1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
CYCS	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DBF4	I	feed_forward_target	regulated by 3 TFs (E2F1, HES1, SP1), no feedback role	TRRUST_topology	medium
DBR1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DCTN1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DCTN2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DCTN3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DCTN5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DCTN6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DDOST	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DDX19A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DDX20	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DDX24	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DDX41	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DDX5	I	feed_forward_tf	TF with 2 known targets, no detected feedback	TRRUST_topology	medium
DDX51	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DDX55	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DHDDS	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DHFR	I	feed_forward_target	regulated by 3 TFs (E2F1, RB1, TFDP1), no feedback role	TRRUST_topology	medium
DHX16	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DHX37	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DHX8	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DICER1	I	feed_forward_target	regulated by 2 TFs (GATA1, SOX4), no feedback role	TRRUST_topology	medium
DIMT1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DNAJA1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DNAJA3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DNAJC8	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DPH2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DPH3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DR1	I	feed_forward_tf	TF with 4 known targets, no detected feedback	TRRUST_topology	medium
DSN1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
DYNC1I2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EDC4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EEF1G	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EEF2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EFTUD2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF1AX	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF2B1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF2B3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF2B4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF2B5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF2S1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF3A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF3F	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF3G	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF3J	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF4G1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EIF4G2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ELOVL1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ELP2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ELP3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ELP6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EMC3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EMC7	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ERCC3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ERH	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ESF1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ESPL1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EXOC1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EXOC3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EXOSC1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EXOSC3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EXOSC4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EXOSC6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
EXOSC8	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
FAM136A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
FAM32A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
FARSA	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
FASTKD5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
FBXO5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
FEN1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
FNTA	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
FOXL2	I	feed_forward_tf	TF with 5 known targets, no detected feedback	TRRUST_topology	medium
FTSJ3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
FXN	I	feed_forward_target	regulated by 1 TFs (SRF), no feedback role	TRRUST_topology	medium
GABPA	I	feed_forward_tf	TF with 5 known targets, no detected feedback	TRRUST_topology	medium
GAPDH	I	feed_forward_target	regulated by 3 TFs (CEBPA, CEBPD, HIF1A), no feedback role	TRRUST_topology	medium
GAR1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GATA1	III	mutual_repression	GATA1-PU.1 bistable switch	literature	high
GEMIN4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GEMIN6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GFM1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GGPS1	I	feed_forward_target	regulated by 1 TFs (EGR1), no feedback role	TRRUST_topology	medium
GINS3	I	feed_forward_target	regulated by 1 TFs (E2F1), no feedback role	TRRUST_topology	medium
GINS4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GIT2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GLI4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GLRX5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GMPS	I	feed_forward_target	regulated by 2 TFs (APBB1, KAT5), no feedback role	TRRUST_topology	medium
GNL3L	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GNPNAT1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GON4L	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GOSR2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GPKOW	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GRB2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GRPEL1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GRSF1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GRWD1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GSPT1	I	feed_forward_target	regulated by 2 TFs (CDX2, SP1), no feedback role	TRRUST_topology	medium
GTF2A2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GTF2F2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GTF2H1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GTF2H2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GTF3A	I	feed_forward_tf	TF with 5 known targets, no detected feedback	TRRUST_topology	medium
GTF3C2	I	feed_forward_target	regulated by 1 TFs (NFIC), no feedback role	TRRUST_topology	medium
GTF3C4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GTF3C5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
GUCD1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
HAUS5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
HBS1L	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
HCFC1	II	mixed_feedback_pair	mixed feedback with E2F4	TRRUST_motif	high
HDAC3	II	negative_feedback_loop	negative feedback loop (HDAC3 → MYC → EP300 → YY1 → HDAC3)	TRRUST_motif	high
HDAC7	IV	feedback_loop_oscillatory	cycle with ≥2 repressions (HDAC7 → ESR1 → AR → NFKB1 → HDAC7)	TRRUST_motif	high
HEATR1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
HGS	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
HIRA	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
HMGA1	II	negative_feedback_loop	negative feedback loop (HMGA1 → BRCA1 → ATM → SP1 → HMGA1)	TRRUST_motif	high
HMGCR	I	feed_forward_target	regulated by 1 TFs (SREBF2), no feedback role	TRRUST_topology	medium
HMGN2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
HNRNPC	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
HNRNPR	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
HOXC10	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
HSCB	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
HSD17B12	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
HSPA14	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
HSPA5	I	feed_forward_target	regulated by 10 TFs (ATF4, ATF6, BRCA1...), no feedback role	TRRUST_topology	medium
HSPA9	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
HUWE1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
IARS2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
IGBP1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ILF2	I	feed_forward_tf	TF with 3 known targets, no detected feedback	TRRUST_topology	medium
ILF3	I	feed_forward_tf	TF with 7 known targets, no detected feedback	TRRUST_topology	medium
IMPDH2	I	feed_forward_target	regulated by 4 TFs (ATF2, EGR1, SP1...), no feedback role	TRRUST_topology	medium
INCENP	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
INO80B	V	chromatin_modifier	encodes chromatin/epigenetic modifier	gene_function	medium
INTS2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
INTS9	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
IPO13	I	feed_forward_target	regulated by 1 TFs (CTCF), no feedback role	TRRUST_topology	medium
IPO7	I	feed_forward_target	regulated by 2 TFs (MYC, TP53), no feedback role	TRRUST_topology	medium
ISCA2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ISG20L2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
KANSL2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
KDM2A	I	feed_forward_tf	TF with 3 known targets, no detected feedback	TRRUST_topology	medium
KIF18B	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
KIF23	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
KIF4A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
KPNA6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
KPNB1	I	feed_forward_target	regulated by 2 TFs (EZH2, SRF), no feedback role	TRRUST_topology	medium
KRT8	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
